num_of_agents,num_of_items,L,D,greedy_approximation,greedy_approximation_to_total,greedy_approximation_to_MMS,weak_greedy_approximation,weak_greedy_approximation_to_total,weak_greedy_approximation_to_MMS
6,192,9,57,25750,14,89,25713,14,88
6,216,1,9,24872,11,66,24872,11,66
6,216,2,15,29833,13,79,29828,13,79
6,216,3,21,31941,14,85,31941,14,85
6,216,4,27,33085,14,88,33072,14,88
6,216,5,33,33756,15,90,33740,15,90
6,216,6,39,34206,15,91,34194,15,91
6,216,7,45,34417,15,92,34391,15,92
6,216,8,51,34262,15,91,34184,15,91
6,216,9,57,34208,15,91,34146,15,91
6,240,1,9,27782,11,66,27782,11,66
6,240,2,15,33282,13,79,33278,13,79
6,240,3,21,35644,14,85,35640,14,85
6,240,4,27,36817,14,88,36792,14,88
6,240,5,33,37719,15,90,37715,15,90
6,240,6,39,38314,15,91,38286,15,91
6,240,7,45,38734,15,92,38703,15,92
6,240,8,51,38800,15,93,38728,15,92
6,240,9,57,38569,15,92,38520,15,92
6,264,1,9,27926,11,66,27926,11,66
6,264,2,15,33502,13,79,33502,13,79
6,264,3,21,35863,14,85,35862,14,85
6,264,4,27,37139,14,88,37136,14,88
6,264,5,33,38029,15,90,38025,15,90
6,264,6,39,38618,15,92,38604,15,92
6,264,7,45,38867,15,92,38822,15,92
6,264,8,51,39247,15,93,39240,15,93
6,264,9,57,39420,15,94,39393,15,94
6,288,1,9,36689,11,66,36689,11,66
6,288,2,15,44002,13,79,44000,13,79
6,288,3,21,47099,14,85,47097,14,85
6,288,4,27,48784,14,88,48772,14,88
6,288,5,33,49829,15,90,49820,15,90
6,288,6,39,50538,15,91,50520,15,91
6,288,7,45,50958,15,92,50946,15,92
6,288,8,51,51119,15,92,51104,15,92
6,288,9,57,51305,15,93,51255,15,93
6,312,1,9,32558,11,66,32558,11,66
6,312,2,15,39070,13,79,39068,13,79
6,312,3,21,41845,14,85,41841,14,85
6,312,4,27,43388,14,88,43384,14,88
6,312,5,33,44336,15,90,44330,15,90
6,312,6,39,45038,15,92,45030,15,92
6,312,7,45,45413,15,92,45395,15,92
6,312,8,51,45844,15,93,45832,15,93
6,312,9,57,46028,15,94,46008,15,94
6,336,1,9,35900,11,66,35900,11,66
6,336,2,15,43079,13,79,43078,13,79
6,336,3,21,46149,14,85,46149,14,85
6,336,4,27,47825,14,88,47824,14,88
6,336,5,33,48908,15,90,48905,15,90
6,336,6,39,49566,15,92,49560,15,92
6,336,7,45,50125,15,93,50113,15,93
6,336,8,51,50397,15,93,50368,15,93
6,336,9,57,50725,15,94,50706,15,94
6,360,1,9,41451,11,66,41451,11,66
6,360,2,15,49729,13,79,49728,13,79
6,360,3,21,53282,14,85,53280,14,85
6,360,4,27,55234,14,88,55232,14,88
6,360,5,33,56503,15,90,56500,15,90
6,360,6,39,57310,15,92,57300,15,92
6,360,7,45,57714,15,92,57694,15,92
6,360,8,51,58079,15,93,58064,15,93
6,360,9,57,58261,15,93,58239,15,93
6,384,1,9,43835,11,66,43835,11,66
6,384,2,15,52595,13,79,52594,13,79
6,384,3,21,56334,14,85,56331,14,85
6,384,4,27,58416,14,88,58408,14,88
6,384,5,33,59648,15,90,59615,15,90
6,384,6,39,60606,15,92,60606,15,92
6,384,7,45,61273,15,93,61243,15,93
6,384,8,51,61805,15,93,61728,15,93
6,384,9,57,62094,15,94,62028,15,94
6,408,1,9,46749,11,66,46749,11,66
6,408,2,15,56073,13,79,56072,13,79
6,408,3,21,60093,14,85,60093,14,85
6,408,4,27,62287,14,88,62284,14,88
6,408,5,33,63679,15,90,63675,15,90
6,408,6,39,64594,15,92,64584,15,92
6,408,7,45,65396,15,93,65387,15,93
6,408,8,51,65908,15,93,65904,15,93
6,408,9,57,66193,15,94,66177,15,94
6,432,1,9,46359,11,66,46359,11,66
6,432,2,15,55620,13,79,55620,13,79
6,432,3,21,59569,14,85,59565,14,85
6,432,4,27,61772,14,88,61760,14,88
6,432,5,33,63185,15,90,63180,15,90
6,432,6,39,64155,15,92,64140,15,92
6,432,7,45,64815,15,93,64792,15,93
6,432,8,51,65245,15,93,65208,15,93
6,432,9,57,65677,15,94,65646,15,94
6,456,1,9,52269,11,66,52269,11,66
6,456,2,15,62716,13,79,62716,13,79
6,456,3,21,67188,14,85,67185,14,85
6,456,4,27,69588,14,88,69576,14,88
6,456,5,33,71114,15,90,71095,15,90
6,456,6,39,72124,15,91,72102,15,91
6,456,7,45,73110,15,93,73101,15,93
6,456,8,51,73720,15,94,73704,15,93
6,456,9,57,74107,15,94,74088,15,94
8,32,1,12,2194,7,61,2194,7,61
8,32,2,20,1474,5,41,1470,5,41
8,32,3,28,698,2,19,657,2,18
8,32,4,36,0,0,0,0,0,0
8,32,5,44,0,0,0,0,0,0
8,32,6,52,0,0,0,0,0,0
8,32,7,60,0,0,0,0,0,0
8,32,8,68,0,0,0,0,0,0
8,32,9,76,0,0,0,0,0,0
8,64,1,12,5200,8,66,5200,8,66
8,64,2,20,6125,9,77,6110,9,77
8,64,3,28,5853,9,74,5829,9,74
8,64,4,36,4669,7,59,4628,7,58
8,64,5,44,3217,5,40,3055,4,38
8,64,6,52,2193,3,27,2088,3,26
8,64,7,60,1226,1,15,1071,1,13
8,64,8,68,306,0,3,0,0,0
8,64,9,76,0,0,0,0,0,0
8,96,1,12,6916,8,66,6916,8,66
8,96,2,20,8228,9,78,8226,9,78
8,96,3,28,8530,10,81,8529,10,81
8,96,4,36,8246,9,79,8220,9,78
8,96,5,44,7847,9,75,7835,9,75
8,96,6,52,7167,8,68,7140,8,68
8,96,7,60,5882,7,56,5810,6,55
8,96,8,68,4916,5,47,4872,5,46
8,96,9,76,3924,4,37,3897,4,37
8,128,1,12,9313,8,66,9313,8,66
8,128,2,20,11119,9,79,11118,9,79
8,128,3,28,11796,10,84,11793,10,84
8,128,4,36,12224,10,87,12220,10,87
8,128,5,44,11963,10,85,11950,10,85
8,128,6,52,11556,10,82,11532,10,82
8,128,7,60,10660,9,76,10626,9,75
8,128,8,68,9840,8,70,9808,8,70
8,128,9,76,8599,7,61,8568,7,61
8,160,1,12,13859,8,66,13859,8,66
8,160,2,20,16627,9,79,16626,9,79
8,160,3,28,17718,10,85,17715,10,85
8,160,4,36,17884,10,85,17868,10,85
8,160,5,44,18110,10,87,18090,10,86
8,160,6,52,17741,10,85,17712,10,85
8,160,7,60,17475,10,83,17437,10,83
8,160,8,68,16722,10,80,16704,10,80
8,160,9,76,15700,9,75,15651,9,75
8,192,1,12,17814,8,66,17814,8,66
8,192,2,20,21371,9,79,21370,9,79
8,192,3,28,22764,10,85,22761,10,85
8,192,4,36,23583,11,88,23580,11,88
8,192,5,44,24007,11,89,24005,11,89
8,192,6,52,24165,11,90,24156,11,90
8,192,7,60,23683,11,88,23660,11,88
8,192,8,68,23048,10,86,23024,10,86
8,192,9,76,22571,10,84,22554,10,84
8,224,1,12,19589,8,66,19589,8,66
8,224,2,20,23486,9,79,23486,9,79
8,224,3,28,25171,10,85,25170,10,85
8,224,4,36,25785,10,87,25780,10,87
8,224,5,44,25880,11,88,25870,11,88
8,224,6,52,25865,10,87,25854,10,87
8,224,7,60,25612,10,87,25592,10,87
8,224,8,68,24997,10,85,24976,10,84
8,224,9,76,24393,10,82,24327,10,82
8,256,1,12,19926,8,66,19926,8,66
8,256,2,20,23869,9,79,23868,9,79
8,256,3,28,25600,10,85,25599,10,85
8,256,4,36,26517,11,88,26512,11,88
8,256,5,44,27065,11,90,27055,11,90
8,256,6,52,27363,11,91,27348,11,91
8,256,7,60,27379,11,91,27335,11,91
8,256,8,68,27505,11,91,27456,11,91
8,256,9,76,27130,11,90,27081,11,90
8,288,1,12,25790,8,66,25790,8,66
8,288,2,20,30942,9,79,30940,9,79
8,288,3,28,33129,10,85,33126,10,85
8,288,4,36,34338,11,88,34324,11,88
8,288,5,44,35042,11,90,35040,11,90
8,288,6,52,35465,11,91,35448,11,91
8,288,7,60,35632,11,92,35595,11,91
8,288,8,68,35347,11,91,35336,11,91
8,288,9,76,35460,11,91,35424,11,91
8,320,1,12,26433,8,66,26433,8,66
8,320,2,20,31719,9,79,31718,9,79
8,320,3,28,33951,10,85,33951,10,85
8,320,4,36,35204,11,88,35200,11,88
8,320,5,44,35930,11,90,35925,11,90
8,320,6,52,36265,11,91,36252,11,91
8,320,7,60,36249,11,91,36225,11,91
8,320,8,68,36270,11,91,36248,11,91
8,320,9,76,36255,11,91,36234,11,91
8,352,1,12,25142,8,66,25142,8,66
8,352,2,20,30160,9,79,30160,9,79
8,352,3,28,32294,10,85,32289,10,85
8,352,4,36,33471,11,88,33468,11,88
8,352,5,44,34131,11,90,34120,11,90
8,352,6,52,34586,11,91,34578,11,91
8,352,7,60,35049,11,92,35035,11,92
8,352,8,68,35300,11,93,35296,11,93
8,352,9,76,35174,11,93,35154,11,93
8,384,1,12,35200,8,66,35200,8,66
8,384,2,20,42232,9,79,42232,9,79
8,384,3,28,45246,10,85,45246,10,85
8,384,4,36,46896,11,88,46892,11,88
8,384,5,44,47940,11,90,47940,11,90
8,384,6,52,48628,11,92,48618,11,92
8,384,7,60,49173,11,93,49168,11,93
8,384,8,68,49338,11,93,49336,11,93
8,384,9,76,49557,11,93,49554,11,93
